,Name,Position,Team,2023,2022,2021,2020,2019,2018,2017,2016,2015,2014,2013,2012,2011,2010,2009,2008,2007,2006
125,RJ Barrett,SG,New York Knicks,10900635.0,8623920.0,8231760.0,7839960.0,,,,,,,,,,,,,,
126,Bobby Portis,C,Milwaukee Bucks,10843350.0,4347600.0,3623000.0,15000000.0,2494346.0,2494346.0,1453680.0,1391160.0,,,,,,,,,,
127,Nicolas Batum,PF,LA Clippers,10843350.0,3170029.0,1620564.0,25565217.0,24000000.0,24000000.0,20869566.0,13125306.0,11765500.0,11295250.0,10850000.0,2155365.0,1196760.0,1118760.0,1040640.0,,,
128,Anthony Edwards,SF,Minnesota Timberwolves,10733400.0,10245480.0,9757440.0,,,,,,,,,,,,,,,
129,Cade Cunningham,PG,Detroit Pistons,10552800.0,10050120.0,,,,,,,,,,,,,,,,
130,P.J. Tucker,PF,Philadelphia 76ers,10490000.0,7000000.0,7969537.0,8349039.0,7969537.0,7590035.0,5300000.0,5500000.0,5700000.0,884293.0,884293.0,,,,,,412718.0,
131,Mo Bamba,C,Orlando Magic,10300000.0,7568743.0,5969040.0,5697600.0,4865040.0,,,,,,,,,,,,,
132,Talen Horton-Tucker,SG,Los Angeles Lakers,10260000.0,9500000.0,1517981.0,898310.0,,,,,,,,,,,,,,
133,Derrick Favors,C,Oklahoma City Thunder,10183800.0,9720900.0,9258000.0,17650000.0,16900000.0,12000000.0,11050000.0,12000000.0,12950000.0,6008196.0,4753320.0,4753320.0,4133280.0,,,,,
134,Jae Crowder,PF,Phoenix Suns,10183000.0,9720900.0,9258000.0,7815533.0,7305825.0,6796117.0,6286408.0,6796117.0,915243.0,788872.0,600491.0,,,,,,,
135,Ivica Zubac,C,LA Clippers,10123457.0,7518518.0,7000000.0,6481482.0,1544951.0,1312611.0,1034956.0,,,,,,,,,,,
136,Alec Burks,SG,Detroit Pistons,10012800.0,9536000.0,6000000.0,1620564.0,11536515.0,10845506.0,10154495.0,9463484.0,3034356.0,2202000.0,2111160.0,2111160.0,,,,,,
137,Reggie Bullock,SF,Dallas Mavericks,10012800.0,9536000.0,4200000.0,4000000.0,2500000.0,2500000.0,2255644.0,1252440.0,1200720.0,1149000.0,1149000.0,,,,,,,
138,Danny Green,SF,Memphis Grizzlies,10000000.0,10000000.0,15365853.0,14634146.0,10000000.0,10000000.0,10000000.0,10000000.0,4025000.0,3762500.0,3500000.0,854389.0,,457588.0,,,,
139,Chet Holmgren,F,Oklahoma City Thunder,9891240.0,,,,,,,,,,,,,,,,,
140,De'Andre Hunter,SF,Atlanta Hawks,9835881.0,7775400.0,7422000.0,7068360.0,,,,,,,,,,,,,,
141,Larry Nance Jr.,PF,New Orleans Pelicans,9672727.0,10690909.0,11709091.0,12727273.0,2272391.0,2272391.0,1207680.0,1155600.0,,,,,,,,,,
142,Ja Morant,PG,Memphis Grizzlies,9603360.0,9603360.0,9166800.0,8730240.0,,,,,,,,,,,,,,
143,James Wiseman,C,Golden State Warriors,9603360.0,9166800.0,8730240.0,,,,,,,,,,,,,,,
144,Landry Shamet,SG,Phoenix Suns,9500000.0,3768342.0,2090040.0,1995120.0,1703649.0,,,,,,,,,,,,,
145,Malik Monk,SG,Sacramento Kings,9472219.0,1669178.0,5345687.0,4028400.0,3447480.0,3447480.0,,,,,,,,,,,,
146,Jalen Green,SG,Houston Rockets,9441840.0,8992200.0,,,,,,,,,,,,,,,,
147,Jakob Poeltl,C,San Antonio Spurs,9398148.0,8750000.0,8101852.0,3754886.0,2947320.0,2947320.0,2703960.0,,,,,,,,,,,
148,Grayson Allen,SG,Milwaukee Bucks,9350000.0,4054695.0,2545320.0,2429400.0,2074320.0,,,,,,,,,,,,,
149,Dario Saric,PF,Phoenix Suns,9240000.0,8510000.0,9250000.0,3481986.0,2526840.0,2526840.0,2318280.0,,,,,,,,,,,
150,Nerlens Noel,C,Detroit Pistons,9240000.0,8000000.0,5000000.0,1620564.0,1757429.0,4187599.0,4384490.0,3457800.0,3315120.0,3172320.0,,,,,,,,
151,Royce O'Neale,PF,Brooklyn Nets,9200000.0,8800000.0,8500000.0,1618520.0,1378242.0,815615.0,,,,,,,,,,,,
152,Kemba Walker,PG,Detroit Pistons,9165471.0,8729020.0,34379100.0,32742000.0,12000000.0,12000000.0,12000000.0,12000000.0,3272091.0,2568360.0,2568360.0,2356320.0,,,,,,
153,Monte Morris,PG,Washington Wizards,9125000.0,8449074.0,1588231.0,1588231.0,1349383.0,,,,,,,,,,,,,
154,Mason Plumlee,C,Charlotte Hornets,9080417.0,9248333.0,8000000.0,14041096.0,12917808.0,14041096.0,2328530.0,1415520.0,1357080.0,1298640.0,,,,,,,,
155,Alex Caruso,SG,Chicago Bulls,9030000.0,8650651.0,2750000.0,2750000.0,,,543471.0,,,,,,,,,,,
156,Maxi Kleber,PF,Dallas Mavericks,9000000.0,8975000.0,8325000.0,8000000.0,1378242.0,815615.0,,,,,,,,,,,,
157,Darius Garland,PG,Cleveland Cavaliers,8920795.0,7040880.0,6720720.0,6400920.0,,,,,,,,,,,,,,
158,Jabari Smith Jr.,F,Houston Rockets,8882640.0,,,,,,,,,,,,,,,,,
159,Kyle Anderson,SF,Minnesota Timberwolves,8780000.0,9937150.0,9505100.0,9073050.0,8641000.0,2151704.0,1192080.0,1142880.0,1093680.0,,,,,,,,,
160,Victor Oladipo,SG,Miami Heat,8750000.0,1669178.0,21000000.0,21000000.0,21000000.0,21000000.0,6552961.0,5192520.0,4978200.0,4763760.0,4763760.0,,,,,,,
161,Daniel Theis,C,Indiana Pacers,8694369.0,8280351.0,5000000.0,5000000.0,1378242.0,815615.0,,,,,,,,,,,,
162,LaMelo Ball,PG,Charlotte Hornets,8623920.0,8231760.0,7839960.0,,,,,,,,,,,,,,,
163,Seth Curry,SG,Brooklyn Nets,8496500.0,8207518.0,7834449.0,7461380.0,2795000.0,3028410.0,2898000.0,947276.0,,,,,,,,,,
164,Evan Mobley,C,Cleveland Cavaliers,8478720.0,8075160.0,,,,,,,,,,,,,,,,
165,Gary Payton II,SG,Portland Trail Blazers,8300000.0,1669178.0,,1052909.0,,,,,,,,,,,,,,
166,De'Anthony Melton,SG,Philadelphia 76ers,8250000.0,8805976.0,9571712.0,1416852.0,949000.0,,,,,,,,,,,,,
167,JaMychal Green,F,Golden State Warriors,8200000.0,8200000.0,7199760.0,4767000.0,7666667.0,8533333.0,980431.0,845059.0,134295.0,,,,,,,,,
168,T.J. McConnell,PG,Indiana Pacers,8100000.0,7500000.0,3500000.0,3500000.0,1600520.0,1600520.0,874636.0,525093.0,,,,,,,,,,
169,Keegan Murray,F,Sacramento Kings,8008440.0,,,,,,,,,,,,,,,,,
170,Thaddeus Young,PF,Toronto Raptors,8000000.0,14190000.0,13545000.0,12900000.0,13964045.0,13964045.0,14153652.0,11235955.0,9410869.0,8850000.0,8289130.0,8039130.0,2901241.0,2105400.0,1968120.0,1830720.0,1830720.0,
171,Taurean Prince,PF,Minnesota Timberwolves,8000000.0,13000000.0,12250000.0,3481986.0,2526840.0,2526840.0,2318280.0,,,,,,,,,,,
172,Kevon Looney,C,Golden State Warriors,8000000.0,5178572.0,4464226.0,4464226.0,1512601.0,1471382.0,1182840.0,1131960.0,,,,,,,,,,
173,Isaiah Hartenstein,C,New York Knicks,7804879.0,1669178.0,1620564.0,1416852.0,838464.0,,,,,,,,,,,,,
174,Delon Wright,SG,Washington Wizards,7804878.0,8526316.0,9000000.0,9473684.0,2536898.0,2536898.0,1577280.0,1509360.0,,,,,,,,,,
175,Patrick Williams,PF,Chicago Bulls,7775400.0,7422000.0,7068360.0,,,,,,,,,,,,,,,
176,Scottie Barnes,SF,Toronto Raptors,7644720.0,7280520.0,,,,,,,,,,,,,,,,
177,Cedi Osman,SF,Cleveland Cavaliers,7426088.0,8133334.0,8840580.0,2907143.0,2775000.0,2775000.0,,,,,,,,,,,,
178,Coby White,PG,Chicago Bulls,7413955.0,5837760.0,5572680.0,5307120.0,,,,,,,,,,,,,,
179,Aron Baynes,C,Toronto Raptors,7350000.0,7350000.0,7000000.0,5453280.0,5193600.0,,6500000.0,6500000.0,2077000.0,788872.0,239588.0,,,,,,,
180,Zach Collins,PF,San Antonio Spurs,7350000.0,7000000.0,5406255.0,4240200.0,3628920.0,3057240.0,,,,,,,,,,,,
181,Jaden Ivey,G,Detroit Pistons,7252200.0,,,,,,,,,,,,,,,,,
182,Isaac Okoro,SF,Cleveland Cavaliers,7040880.0,6720720.0,6400920.0,,,,,,,,,,,,,,,
183,Cody Martin,SF,Charlotte Hornets,7000000.0,1782621.0,1517981.0,1173310.0,,,,,,,,,,,,,,
184,Jalen Suggs,SG,Orlando Magic,6922320.0,6593040.0,,,,,,,,,,,,,,,,
185,Juancho Hernangomez,F,Toronto Raptors,6907815.0,6907815.0,6493000.0,3321030.0,2166360.0,2076840.0,1987440.0,,,,,,,,,,,
186,Jaxson Hayes,C,New Orleans Pelicans,6803012.0,5348280.0,5105160.0,4862040.0,,,,,,,,,,,,,,
187,Khem Birch,C,Toronto Raptors,6667500.0,6350000.0,3000000.0,3000000.0,1378242.0,1378242.0,,,507336.0,,,,,,,,,
188,Bennedict Mathurin,G,Indiana Pacers,6586800.0,,,,,,,,,,,,,,,,,
189,Patty Mills,PG,Brooklyn Nets,6479000.0,5890000.0,13535714.0,12428571.0,11571429.0,10714286.0,3578948.0,3578947.0,3842105.0,1133950.0,1085120.0,213517.0,937195.0,457588.0,,,,
190,Caleb Martin,SF,Miami Heat,6479000.0,1782621.0,1517981.0,898310.0,,,,,,,,,,,,,,
191,Lonnie Walker IV,G,Los Angeles Lakers,6479000.0,4447896.0,2892000.0,2689920.0,2357160.0,,,,,,,,,,,,,
192,John Wall,PG,LA Clippers,6479000.0,44310840.0,41254920.0,38199000.0,19169800.0,19169800.0,16957900.0,15851950.0,14746000.0,7459925.0,7459925.0,5530080.0,5144280.0,,,,,
193,Bruce Brown,SF,Denver Nuggets,6479000.0,4736102.0,1663861.0,1416852.0,838464.0,,,,,,,,,,,,,
194,Danilo Gallinari,F,Boston Celtics,6479000.0,20475000.0,19500000.0,22615559.0,21587579.0,20559599.0,15050000.0,14000000.0,10854850.0,10146925.0,9439000.0,4190182.0,3304560.0,3089040.0,2873520.0,,,
195,Onyeka Okongwu,PF,Atlanta Hawks,6395160.0,6104280.0,5813640.0,,,,,,,,,,,,,,,
196,Justin Holiday,SF,Atlanta Hawks,6292440.0,6006420.0,5720000.0,4767000.0,4384616.0,4384616.0,1015696.0,947276.0,816482.0,,,,,,,,,
197,Josh Giddey,SG,Oklahoma City Thunder,6287280.0,5988000.0,,,,,,,,,,,,,,,,
198,Rui Hachimura,PF,Washington Wizards,6263188.0,4916160.0,4692840.0,4469160.0,,,,,,,,,,,,,,
199,Rudy Gay,SF,Utah Jazz,6184500.0,5890000.0,14500000.0,14500000.0,10087200.0,8406000.0,13333333.0,12403101.0,19317326.0,17888932.0,16460538.0,15032144.0,13603750.0,3280997.0,2579400.0,2411160.0,2242920.0,
200,Shaedon Sharpe,G,Portland Trail Blazers,6012960.0,,,,,,,,,,,,,,,,,
201,Otto Porter Jr.,SF,Toronto Raptors,6000000.0,1669178.0,28489237.0,27250575.0,26011913.0,26011913.0,5893981.0,4662960.0,4470480.0,4278000.0,4278000.0,,,,,,,
202,Cameron Payne,PG,Phoenix Suns,6000000.0,6500000.0,1977011.0,1737145.0,3263294.0,3263294.0,2112480.0,2021520.0,,,,,,,,,,
203,Cam Reddish,SF,New York Knicks,5954454.0,4670160.0,4458000.0,4245720.0,,,,,,,,,,,,,,
204,Cameron Johnson,SF,Phoenix Suns,5887899.0,4437000.0,4033440.0,4033440.0,,,,,,,,,,,,,,
205,Ricky Rubio,PG,Cleveland Cavaliers,5853659.0,17800000.0,17000000.0,16200000.0,14975000.0,14275000.0,13550000.0,12700000.0,4660479.0,3678358.0,3741120.0,3480120.0,,,,,,
206,Kevin Knox II,F,Detroit Pistons,5845979.0,5845979.0,4588680.0,4380120.0,3739920.0,,,,,,,,,,,,,
207,P.J. Washington,PF,Charlotte Hornets,5808435.0,4215120.0,4023600.0,3831840.0,,,,,,,,,,,,,,
208,Jonathan Kuminga,PF,Golden State Warriors,5739860.0,5466360.0,,,,,,,,,,,,,,,,
209,Pat Connaughton,SG,Milwaukee Bucks,5728396.0,5333334.0,4938272.0,1723050.0,1641000.0,1471382.0,874636.0,625093.0,,,,,,,,,,
210,Tyler Herro,PG,Miami Heat,5722116.0,4004280.0,2582160.0,3640200.0,,,,,,,,,,,,,,
211,Romeo Langford,SG,San Antonio Spurs,5634257.0,3804360.0,3631200.0,3458400.0,,,,,,,,,,,,,,
212,Killian Hayes,PG,Detroit Pistons,5572680.0,5572680.0,5307120.0,,,,,,,,,,,,,,,
213,Dyson Daniels,G,New Orleans Pelicans,5508600.0,,,,,,,,,,,,,,,,,
214,JaVale McGee,C,Dallas Mavericks,5461219.0,5000000.0,4200000.0,4000000.0,1512601.0,1471382.0,1403611.0,1270964.0,11250000.0,10750000.0,10000000.0,2462400.0,1601040.0,1496640.0,1392240.0,,,
215,Obi Toppin,PF,New York Knicks,5348280.0,5105160.0,4862040.0,,,,,,,,,,,,,,,
216,Franz Wagner,SF,Orlando Magic,5258280.0,5007840.0,,,,,,,,,,,,,,,,
217,Kendrick Nunn,G,Los Angeles Lakers,5250000.0,5000000.0,1663861.0,1416852.0,,,,,,,,,,,,,,
218,Hamidou Diallo,SG,Detroit Pistons,5200000.0,5200000.0,1663861.0,1416852.0,838464.0,,,,,,,,,,,,,
219,Taj Gibson,F,Washington Wizards,5155500.0,4910000.0,1442968.0,9000000.0,14000000.0,14000000.0,8950000.0,8500000.0,8000000.0,7550000.0,7415730.0,1195680.0,1117680.0,1039800.0,,,,
220,Cory Joseph,PG,Detroit Pistons,5155500.0,4910000.0,12600000.0,12000000.0,7945000.0,7945000.0,7315000.0,7000000.0,2023261.0,1120920.0,1074720.0,1074720.0,,,,,,
221,Torrey Craig,SF,Phoenix Suns,5121951.0,4878049.0,1620564.0,2000000.0,2000000.0,,,,,,,,,,,,,
222,Jeremy Sochan,F,San Antonio Spurs,5063520.0,,,,,,,,,,,,,,,,,
223,David Nwaba,SF,Houston Rockets,5022000.0,4650000.0,1824003.0,903111.0,1512601.0,,,,,,,,,,,,,
224,Nickeil Alexander-Walker,SG,Utah Jazz,5009633.0,3261480.0,3113160.0,2964840.0,,,,,,,,,,,,,,
225,Furkan Korkmaz,SG,Philadelphia 76ers,5000000.0,4629630.0,1762796.0,1620564.0,1740000.0,1740000.0,,,,,,,,,,,,
226,Dante Exum,PG,Houston Rockets,5000000.0,5000000.0,9600000.0,9600000.0,9600000.0,4992385.0,3940320.0,3777720.0,3615000.0,,,,,,,,,
227,Lou Williams,SG,Atlanta Hawks,5000000.0,5000000.0,8000000.0,8000000.0,8000000.0,7000000.0,7000000.0,7000000.0,5450000.0,5225000.0,5000000.0,5176000.0,5000000.0,4972500.0,4500000.0,770610.0,664209.0,
228,Deni Avdija,SF,Washington Wizards,4916160.0,4692840.0,4469160.0,,,,,,,,,,,,,,,
229,Garrett Temple,SF,New Orleans Pelicans,4910000.0,4910000.0,4767000.0,4767000.0,8000000.0,8000000.0,8000000.0,1100602.0,981084.0,884293.0,884293.0,,,88826.0,,,,
230,Davion Mitchell,PG,Sacramento Kings,4833600.0,4603320.0,,,,,,,,,,,,,,,,
231,Johnny Davis,G,Washington Wizards,4810320.0,,,,,,,,,,,,,,,,,
232,Goga Bitadze,C,Indiana Pacers,4765339.0,3098400.0,2957520.0,2816760.0,,,,,,,,,,,,,,
233,Ish Smith,PG,Denver Nuggets,4750000.0,4500000.0,6000000.0,6000000.0,6000000.0,6000000.0,6000000.0,947276.0,861405.0,951463.0,910941.0,522472.0,473604.0,,,,,
234,Dewayne Dedmon,C,Miami Heat,4700000.0,1669178.0,432890.0,13333333.0,7200000.0,7200000.0,2898000.0,947276.0,816482.0,,,,,,,,,
235,Jalen Smith,F,Indiana Pacers,4670160.0,4458000.0,4245720.0,,,,,,,,,,,,,,,
236,Ziaire Williams,SG,Memphis Grizzlies,4591680.0,4373040.0,,,,,,,,,,,,,,,,
237,Ousmane Dieng,F,Oklahoma City Thunder,4569840.0,,,,,,,,,,,,,,,,,
238,Maurice Harkless,SF,Atlanta Hawks,4564980.0,4347600.0,3623000.0,11011234.0,10837079.0,10162922.0,8988765.0,2894059.0,1887840.0,1809840.0,1809840.0,,,,,,,
239,Donte DiVincenzo,SG,Golden State Warriors,4500000.0,4675830.0,3044160.0,2905800.0,2481000.0,,,,,,,,,,,,,
240,Jeff Green,PF,Denver Nuggets,4500000.0,4500000.0,1620564.0,439475.0,1512601.0,,15000000.0,9650000.0,9200000.0,8700000.0,8385000.0,4455988.0,4455988.0,3516960.0,3287640.0,3058200.0,3058200.0,
241,Devin Vassell,SG,San Antonio Spurs,4437000.0,4235160.0,4033440.0,,,,,,,,,,,,,,,
242,Matisse Thybulle,SG,Philadelphia 76ers,4379527.0,2840160.0,2711280.0,2582160.0,,,,,,,,,,,,,,
243,James Bouknight,SG,Charlotte Hornets,4362240.0,4154400.0,,,,,,,,,,,,,,,,
244,Brandon Clarke,PF,Memphis Grizzlies,4343920.0,2726880.0,2602920.0,2478840.0,,,,,,,,,,,,,,
245,Jalen Williams,F,Oklahoma City Thunder,4341480.0,,,,,,,,,,,,,,,,,
246,Grant Williams,PF,Boston Celtics,4306281.0,2617800.0,2498760.0,2379840.0,,,,,,,,,,,,,,
247,Darius Bazley,PF,Oklahoma City Thunder,4264629.0,2513040.0,2339160.0,2284800.0,,,,,,,,,,,,,,
248,Ty Jerome,SG,Oklahoma City Thunder,4220057.0,2412840.0,2303040.0,2193480.0,,,,,,,,,,,,,,
249,Tyrese Haliburton,PG,Indiana Pacers,4215120.0,4023600.0,3831840.0,,,,,,,,,,,,,,,
250,Nassir Little,SF,Portland Trail Blazers,4171548.0,2316240.0,2210640.0,2105520.0,,,,,,,,,,,,,,
251,Joshua Primo,SG,San Antonio Spurs,4144320.0,3946800.0,,,,,,,,,,,,,,,,
252,Jalen Duren,C,Detroit Pistons,4124280.0,,,,,,,,,,,,,,,,,
253,Danuel House Jr.,SF,Philadelphia 76ers,4105000.0,565986.0,3717000.0,3540000.0,247827.0,,543471.0,,,,,,,,,,,
254,Willie Cauley-Stein,C,Philadelphia 76ers,4100000.0,4100000.0,4100000.0,2177483.0,4696875.0,3704160.0,3551160.0,3398280.0,,,,,,,,,,
255,Justise Winslow,PF,Portland Trail Blazers,4097561.0,3902439.0,13000000.0,13000000.0,3448926.0,3448926.0,2593440.0,2481720.0,,,,,,,,,,
256,Jarred Vanderbilt,PF,Utah Jazz,4050000.0,4050000.0,1663361.0,1416852.0,838464.0,,,,,,,,,,,,,
257,Dylan Windler,SG,Cleveland Cavaliers,4037278.0,2239200.0,2137440.0,2035800.0,,,,,,,,,,,,,,
258,Chandler Hutchison,SF,Phoenix Suns,4019459.0,4019459.0,2443440.0,2332320.0,1990520.0,,,,,,,,,,,,,
259,Kira Lewis Jr.,PG,New Orleans Pelicans,4004280.0,3822240.0,3640200.0,,,,,,,,,,,,,,,
260,Terence Davis,SG,Sacramento Kings,4000000.0,4000000.0,1517981.0,898310.0,,,,,,,,,,,,,,
261,George Hill,PG,Milwaukee Bucks,4000000.0,4000000.0,9590602.0,9133907.0,19000000.0,19000000.0,8000000.0,8000000.0,8000000.0,8000000.0,8000000.0,1540493.0,854389.0,1081680.0,1006200.0,,,
262,Chris Duarte,SG,Indiana Pacers,3936960.0,3749400.0,,,,,,,,,,,,,,,,
263,Ochai Agbaji,F,Cleveland Cavaliers,3918360.0,,,,,,,,,,,,,,,,,
264,Alex Len,C,Sacramento Kings,3918000.0,3732000.0,1265372.0,4160000.0,4350000.0,4187599.0,4823621.0,3807120.0,3649920.0,3492720.0,,,,,,,,
265,Jordan Poole,SG,Golden State Warriors,3901399.0,2161440.0,2063280.0,1964760.0,,,,,,,,,,,,,,
266,Keldon Johnson,SF,San Antonio Spurs,3873025.0,2145720.0,2048040.0,1950600.0,,,,,,,,,,,,,,
267,Aaron Nesmith,SF,Indiana Pacers,3804360.0,3631200.0,3458400.0,,,,,,,,,,,,,,,
268,Mark Williams,C,Charlotte Hornets,3722040.0,,,,,,,,,,,,,,,,,
269,Gabriel Deck,SF,Oklahoma City Thunder,3676852.0,3676852.0,3870370.0,,,,,,,,,,,,,,,
270,Cole Anthony,PG,Orlando Magic,3613680.0,3449400.0,3285120.0,,,,,,,,,,,,,,,
271,Sekou Doumbouya,SF,Los Angeles Lakers,3613680.0,3613680.0,3449400.0,3285120.0,,,,,,,,,,,,,,
272,Moses Moody,SG,Golden State Warriors,3562200.0,3562200.0,,,,,,,,,,,,,,,,
273,Corey Kispert,SF,Washington Wizards,3552960.0,3383640.0,,,,,,,,,,,,,,,,
274,AJ Griffin,F,Atlanta Hawks,3536160.0,,,,,,,,,,,,,,,,,
275,Boban Marjanovic,C,Houston Rockets,3500000.0,3500000.0,3500000.0,3500000.0,7000000.0,7000000.0,7000000.0,1200000.0,,,,,,,,,,
276,Georges Niang,SF,Philadelphia 76ers,3465000.0,3300000.0,1783557.0,1645357.0,1512601.0,,650000.0,,,,,,,,,,,
277,Chuma Okeke,PF,Orlando Magic,3433320.0,3277080.0,3121080.0,,,,,,,,,,,,,,,
278,Isaiah Stewart,C,Detroit Pistons,3433320.0,3277080.0,3121080.0,,,,,,,,,,,,,,,
279,Amir Coffey,SG,LA Clippers,3395062.0,,,,,,,,,,,,,,,,,
280,Alperen Sengun,C,Houston Rockets,3375480.0,3214680.0,,,,,,,,,,,,,,,,
281,Tari Eason,F,Houston Rockets,3309160.0,,,,,,,,,,,,,,,,,
282,Michael Carter-Williams,PG,Orlando Magic,3300000.0,3300000.0,3300000.0,1620564.0,,,3183526.0,2399040.0,2300040.0,2200920.0,,,,,,,,
283,Aleksej Pokusevski,C,Oklahoma City Thunder,3261480.0,3113160.0,2964840.0,,,,,,,,,,,,,,,
284,Trey Burke,PG,Houston Rockets,3243750.0,3150000.0,3000000.0,1620564.0,1795015.0,1544951.0,3386598.0,2658240.0,2548560.0,2438760.0,,,,,,,,
285,Kevin Porter Jr.,SG,Houston Rockets,3217631.0,1782621.0,1717981.0,1290960.0,,,,,,,,,,,,,,
